class,type,name,showif,value,label,optional,,
mc_vertical answer_below_label,mc comuna_14,comuna_P06_14,region_P06==14,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_15,comuna_P06_15,region_P06==15,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_16,comuna_P06_16,region_P06==16,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,select_one relacion,vinculo_P06,count_SN5 > 1,,¿Cuál es el vínculo con el/la niño/a?,,,
answer_below_label,text,vinculo_P06_esp,vinculo_P06 == 17,,Especifique,,,
mc_vertical answer_below_label,text,anio_P06,count_SN5 > 1,,"¿Qué edad tenía el niño/a cuando esta persona comenzó a participar en su cuidado? Si el niño/a tenía menos de 1 año o esta persona ha participado desde su nacimiento, indique “0”.",,,
mc_vertical answer_below_label,mc_multiple cuidado,cuidado_P06,count_SN5 > 1,,"Durante el último mes, ¿qué tipo(s) de cuidado entregó esta persona al/a niño/a?",,,
answer_below_label,text,cuidado_P06_esp,"cuidado_P06==7 | cuidado_P06 %contains_word% ""7""",,Especifique,,,
mc_vertical answer_below_label,mc frecuencia,frecuencia_P06,count_SN5 > 1,,"Durante el último mes, ¿con qué frecuencia participó en el cuidado del niño/a?",,,
mc_vertical answer_below_label,mc horas,horas_P06,count_SN5 > 1,,"En los días que esta persona cuidó al/la niño/a, ¿cuántas horas aproximadamente lo/la cuidó?",,,
,submit,persona07,,,Siguiente,,,
counter space_bottom_60,"number 1,21",count_SN6,count_SN5 > 1,1,¿Quiere añadir otra persona?,,,
,note,p7,count_SN6 > 1,,**Persona 7**,,,
clear right150 align_horizontally select2 label_as_placeholder row_height_40,text 50,nombre_P07,count_SN6 > 1,,Nombre,,,
mc_vertical answer_below_label,select_one sex_list,sex_P07,count_SN6 > 1,,¿Cuál es el sexo de esta persona?,,,
mc_vertical answer_below_label,text,edad_P07,count_SN6 > 1,,¿Cuál es la edad en años cumplidos de esta persona?,,,
mc_vertical answer_below_label,select_one educacion,educ_P07,count_SN6 > 1,,¿Cuál es el nivel educativo más alto alcanzado por esta persona?,,,
mc_vertical answer_below_label,select_one pais,pais_P07,count_SN6 > 1,,¿En qué país nació?,,,
mc_vertical answer_below_label,select_one region,region_P07,count_SN6 > 1,,¿En qué región reside?,,,
mc_vertical answer_below_label,mc comuna_1,comuna_P07_1,region_P07==1,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_2,comuna_P07_2,region_P07==2,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_3,comuna_P07_3,region_P07==3,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_4,comuna_P07_4,region_P07==4,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_5,comuna_P07_5,region_P07==5,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_6,comuna_P07_6,region_P07==6,,¿En qué comuna reside?,,,
mc_vertical answer_below_label,mc comuna_7,comuna_P07_7,region_P07==7,,¿En qué comuna reside?,,,
